Value,Package,Qty,Designators,Mfr,Mfr Part Number,Dielectric,Rating,Tol,Notes
0.1uF,C_0402,30,"C13,C14,C15,C16,C17,C24,C25,C26,C27,C28,C31,C46,C49,C52,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C71,C74,C77,C78",Samsung,CL05B104KO5NNNC,X7R,16V,10%,
0.1uF,C_0603,5,"C6,C36,C73,C75,C76",Samsung,CL10B104KO8NNNC,X7R,16V,10%,
1uF,C_0603,5,"C11,C41,C42,C43,C44",Samsung,CL10B105KO8NNNC,X7R,16V,10%,
4.7uF,C_0603,4,"C32,C33,C34,C35",Samsung,CL10A475KO8NNNC,X5R,16V,10%,
10uF,C_0402,3,"C12,C51,C57",Samsung,CL05A106KQ5NNNC,X5R,6.3V,,verify stock; heavy DC-bias at 3V3 - 0603 recommended
4.7nF,C_0402,3,"C50,C53,C56",Samsung,CL05B472KO5NNNC,X7R,16V,10%,
100pF,C_0402,2,"C1,C10",Samsung,CL05C101JB5NNNC,C0G,50V,5%,
100uF,C_0603,2,"C37,C38",Samsung,,X5R,16V,10%,"100uF NOT available in 0603 -> move to 0805/1206 or split, then pick MPN"
1uF,C_0402,2,"C8,C30",Samsung,CL05B105KO5NNNC,X7R,16V,10%,
2.0pF,C_0402,2,"C47,C48",Samsung,CL05C2R0CB5NNNC,C0G,50V,±0.25pF,RF path
3.3pF,C_0402,2,"C54,C55",Samsung,CL05C3R3CB5NNNC,C0G,50V,±0.25pF,xtal load cap (tight tol)
33nF,C_0603,2,"C19,C20",Samsung,CL10B333KO8NNNC,X7R,16V,10%,
33pF,C_0402,2,"C3,C4",Samsung,CL05C330JB5NNNC,C0G,50V,5%,
4.7uF,C_0402,2,"C70,C72",Samsung,CL05A475KO5NNNC,X5R,16V,10%,
47nF,C_0402,2,"C22,C23",Samsung,CL05B473KO5NNNC,X7R,16V,10%,
0.22uF,C_0402,1,C45,Samsung,CL05B224KO5NNNC,X7R,16V,10%,
10nF,C_0603,1,C21,Samsung,CL10B103KO8NNNC,X7R,16V,10%,
10uF,C_0603,1,C29,Samsung,CL10A106KO8NQNC,X5R,16V,,"verified Mouser; if rail<=5V, CL10A106KP8NNNC (10V, LCSC C19702) is cheaper"
1800pF,C_0402,1,C5,Samsung,CL05B182KO5NNNC,X7R,16V,10%,
22uF,C_0603,1,C7,Samsung,CL10A226KP8NNNC,X5R,10V,,verify suffix (NNNC/NQNC); 0805 safer for VBUS margin
3.3uF,C_0402,1,C9,Samsung,CL05A335KO5NNNC,X5R,16V,10%,
4700pf,C_0603,1,C39,Samsung,CL10B472KO8NNNC,X7R,16V,10%,
470nF,C_0402,1,C18,Samsung,CL05B474KO5NNNC,X7R,16V,10%,
47pf,C_0603,1,C40,Samsung,CL10C470JB8NNNC,C0G,50V,5%,
680pF,C_0402,1,C2,Samsung,CL05B681KO5NNNC,X7R,16V,10%,
10k,R_0603,6,"R32,R33,R34,R35,R36,R38",Yageo,RC0603FR-0710KL,,1/10W,1%,
10,R_0402,3,"R6,R17,R18",Yageo,RC0402FR-0710RL,,1/16W,1%,
220k,R_0402,2,"R10,R11",Yageo,RC0402FR-07220KL,,1/16W,1%,verify 1% stock (E24 value)
4.99,R_0603,2,"R13,R14",Yageo,RC0603FR-074R99L,,1/10W,1%,
5k,R_0603,2,"R7,R8",Yageo,RC0603FR-074K99L,,1/10W,1%,5k not E96 -> sub 4.99k
1,R_0603,1,R15,Yageo,RC0603FR-071RL,,1/10W,1%,
10.2k,R_0603,1,R24,Yageo,RC0603FR-0710K2L,,1/10W,1%,
100k,R_0603,1,R31,Yageo,RC0603FR-07100KL,,1/10W,1%,
10k,R_0402,1,R2,Yageo,RC0402FR-0710KL,,1/16W,1%,
10m,R_0402,1,R16,,,—,1%,—,"10mOhm SENSE: pick by power vs peak I (e.g. Bourns CR/Panasonic ERJ, ≥adequate W)"
10m,R_0603,1,R37,,,—,1%,—,"10mOhm SENSE: pick by power vs peak I (e.g. Bourns CR/Panasonic ERJ, ≥adequate W)"
16.9k,R_0603,1,R22,Yageo,RC0603FR-0716K9L,,1/10W,1%,
2.2,R_0603,1,R12,Yageo,RC0603FR-072R2L,,1/10W,1%,
243k,R_0603,1,R19,Yageo,RC0603FR-07243KL,,1/10W,1%,
250k,R_0402,1,R4,Yageo,RC0402FR-07249KL,,1/16W,1%,250k not E96 -> sub 249k
30k,R_0402,1,R1,Yageo,RC0402FR-0730KL,,1/16W,1%,verify 1% stock (E24 value)
31.6k,R_0603,1,R23,Yageo,RC0603FR-0731K6L,,1/10W,1%,
350k,R_0402,1,R5,Yageo,RC0402FR-07348KL,,1/16W,1%,350k not E96 -> sub 348k
365k,R_0603,1,R20,Yageo,RC0603FR-07365KL,,1/10W,1%,
383k,R_0402,1,R9,Yageo,RC0402FR-07383KL,,1/16W,1%,
40.2k,R_0402,1,R3,Yageo,RC0402FR-0740K2L,,1/16W,1%,
88.7k,R_0603,1,R21,Yageo,RC0603FR-0788K7L,,1/10W,1%,
2.2uH,INDPM9785X300N,1,L1,,,,,,select by Isat/Irms>=peak coil current
5.5uH,L_0603,1,L2,,,,,,select by Isat/Irms>=peak coil current
33,C_0402,1,FB1,,,,,,ferrite 33ohm@100MHz + rated current
