status,value,package,qty,designators,mpn,mfr,mouser_pn,availability,risk,notes
NO_MATCH,10uF,C_0402,3,"C12,C51,C57",CL05A106KQ5NNNC,Samsung,,-,,verify stock; heavy DC-bias at 3V3 - 0603 recommended
NO_MATCH,4.7nF,C_0402,3,"C50,C53,C56",CL05B472KO5NNNC,Samsung,,-,,
NO_MATCH,100uF,C_0603,2,"C37,C38",,Samsung,,-,,"100uF NOT available in 0603 -> move to 0805/1206 or split, then pick MPN"
NO_MATCH,1uF,C_0402,2,"C8,C30",CL05B105KO5NNNC,Samsung,,-,,
NO_MATCH,2.0pF,C_0402,2,"C47,C48",CL05C2R0CB5NNNC,Samsung,,-,,RF path
NO_MATCH,4.7uF,C_0402,2,"C70,C72",CL05A475KO5NNNC,Samsung,,-,,
NO_MATCH,1800pF,C_0402,1,C5,CL05B182KO5NNNC,Samsung,,-,,
NO_MATCH,22uF,C_0603,1,C7,CL10A226KP8NNNC,Samsung,,-,,verify suffix (NNNC/NQNC); 0805 safer for VBUS margin
NO_MATCH,3.3uF,C_0402,1,C9,CL05A335KO5NNNC,Samsung,,-,,
NO_MATCH,4700pf,C_0603,1,C39,CL10B472KO8NNNC,Samsung,,-,,
NO_MATCH,470nF,C_0402,1,C18,CL05B474KO5NNNC,Samsung,,-,,
NO_MATCH,680pF,C_0402,1,C2,CL05B681KO5NNNC,Samsung,,-,,
NO_MATCH,10m,R_0402,1,R16,,,,-,,"10mOhm SENSE: pick by power vs peak I (e.g. Bourns CR/Panasonic ERJ, ≥adequate W)"
NO_MATCH,10m,R_0603,1,R37,,,,-,,"10mOhm SENSE: pick by power vs peak I (e.g. Bourns CR/Panasonic ERJ, ≥adequate W)"
NO_MATCH,5.5uH,L_0603,1,L2,,,,-,,select by Isat/Irms>=peak coil current
NO_MATCH,33,C_0402,1,FB1,,,,-,,ferrite 33ohm@100MHz + rated current
NOT_ORDERABLE,3.3pF,C_0402,2,"C54,C55",CL05C3R3CB5NNNC,Samsung,187-CL05C3R3CB5NNNC,N/A,Product is not available at Mouser and has very limited distribution.,xtal load cap (tight tol)
NOT_ORDERABLE,33nF,C_0603,2,"C19,C20",CL10B333KO8NNNC,Samsung,187-CL10B333KO8NNNC,N/A,Part is obsolete and no longer available.,
NOT_ORDERABLE,10nF,C_0603,1,C21,CL10B103KO8NNNC,Samsung,187-CL10B103KO8NNNC,N/A,Product is not available at Mouser and has very limited distribution.,
BACKORDER,100pF,C_0402,2,"C1,C10",CL05C101JB5NNNC,Samsung,187-CL05C101JB5NNNC,"0 ships now, 2 backordered, long lead",Product has high popularity and is readily available.,
BACKORDER,10uF,C_0603,1,C29,CL10A106KO8NQNC,Samsung,187-CL10A106KO8NQNC,"0 ships now, 1 backordered",Product has high popularity and is readily available.,"verified Mouser; if rail<=5V, CL10A106KP8NNNC (10V, LCSC C19702) is cheaper"
BACKORDER,2.2,R_0603,1,R12,RC0603FR-072R2L,Yageo,603-RC0603FR-072R2L,"0 ships now, 1 backordered",Product has high popularity and is readily available.,
